aX,aY,aZ,gX,gY,gZ
0.936,0.061,0.028,2.136,-2.38,-2.258
0.941,0.073,0.074,2.014,-2.075,-1.221
0.96,0.078,0.074,1.282,-0.244,-0.122
0.937,0.083,0.046,0.427,1.16,-0.122
0.898,0.066,0.038,1.465,0.427,-2.197
0.88,0.042,0.037,2.563,-0.549,-3.723
0.894,0.044,-0.004,2.197,-0.305,-2.563
0.915,0.05,-0.039,0.732,-1.343,-0.916
0.949,0.063,0.004,1.099,-4.578,-1.099
0.996,0.067,0.065,2.747,-7.202,-2.014
1.024,0.07,0.025,2.686,-3.418,-2.319
1.021,0.062,-0.025,1.404,0.183,-2.136
1.01,0.076,-0.045,0.916,-0.61,-1.343
1.012,0.098,-0.064,1.648,-1.831,-0.977
1.011,0.11,-0.081,2.014,-1.892,-1.831
1.007,0.098,-0.073,1.038,-1.343,-2.869
0.99,0.079,-0.075,-0.916,-0.244,-3.113
1,0.072,-0.053,-2.319,-1.221,-2.197
1.013,0.065,-0.009,-3.174,-2.93,-0.732
1.026,0.056,0.038,-2.808,-2.625,0.427
1.1,0.112,0.059,-1.648,-1.77,0.732
1.096,0.067,0.094,1.892,-2.808,-3.479
1.058,0.034,0.044,2.869,-0.854,-7.263
0.998,0.02,0.02,4.272,-1.282,-7.751
0.962,0.007,-0.012,5.615,-1.77,-7.629
0.941,0.013,-0.029,6.287,-1.831,-6.714
0.942,0.04,-0.055,6.226,-1.16,-5.615
0.929,0.033,-0.069,5.188,-0.793,-5.737
0.92,0.026,-0.068,3.357,-0.305,-5.615
0.915,0.02,-0.037,2.197,-0.793,-4.456
0.925,0.028,-0.037,1.892,-0.854,-2.991
0.948,0.034,0.002,2.625,-0.549,-2.502
0.975,0.027,0.042,3.418,-0.488,-2.014
